source,asset,price,date,runAt
coinbene,BTC,37027.37,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
coinbene,RIF-BTC,0.00000444,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
huobi,RBTC-BTC,0,2021-01-19T15:17:39.352Z,2021-01-19T15:17:24.881Z
huobi,BTC,,2021-01-19T15:17:39.791Z,2021-01-19T15:17:24.881Z
hitbtc,BTC,37036.53,1970-01-01T00:00:02.021Z,2021-01-19T15:17:24.881Z
hitbtc,RIF-BTC,0.0000052405,2021-01-19T15:17:41.207Z,2021-01-19T15:17:24.881Z
rskOracle,BTC,37104.18,2021-01-19T15:21:28.392Z,2021-01-19T15:22:24.886Z
mocOracle,BTC,37107.989999999997962731,unknown,2021-01-19T15:22:24.886Z
mocOracle,RIF,0.19685788694999999,unknown,2021-01-19T15:22:24.886Z
binanace,BTC,37090.00000000,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
binanace,RIF,0.19750000,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
coingeko,RBTC,36900,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
coingeko,BTC,36860,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
coingeko,RIF,0.194123,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
kucoin,RBTC-BTC,1.00817791,2021-01-19T15:22:21.621Z,2021-01-19T15:22:24.886Z
kucoin,RIF-BTC,0.00000528,2021-01-19T15:22:30.421Z,2021-01-19T15:22:24.886Z
kucoin,BTC,37088,2021-01-19T15:22:33.476Z,2021-01-19T15:22:24.886Z
bitfinex,BTC,37166.59408,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
bitfinex,RIF,0.19092,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
bkex,BTC,37086.5,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
bkex,RIF,0.1975,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
coinbene,BTC,37081.89,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
coinbene,RIF-BTC,0.00000443,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
huobi,RBTC-BTC,0,2021-01-19T15:22:38.864Z,2021-01-19T15:22:24.886Z
huobi,BTC,,2021-01-19T15:22:39.267Z,2021-01-19T15:22:24.886Z
hitbtc,BTC,37078.65,1970-01-01T00:00:02.021Z,2021-01-19T15:22:24.886Z
hitbtc,RIF-BTC,0.0000052405,2021-01-19T15:22:39.825Z,2021-01-19T15:22:24.886Z
